Date;Time;Event Name;IP Address;Action;Host;URL;Response Code;Time to Load (ms);Time to First Byte (ms);Start Time (ms);Bytes Out;Bytes In;Object Size;Cookie Size (out);Cookie Count(out);Expires;Cache Control;Content Type;Content Encoding;Transaction Type;Socket ID;Document ID;End Time (ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Event GUID;Sequence Number;Cache Score;Static CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Compression Score;ETag Score;Flagged;Secure;DNS Time;Connect Time;SSL Time;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Cache Time (sec);Real Start Time (ms);Full Time to Load (ms);Optimization Checked;CDN Provider;DNS Start;DNS End;;;Connect Start;Connect End;;;SSL Negotiation Start;SSL Negotiation End;;;Initiator;Initiator Line;Initiator Column;Server Count;Server RTT;Run;Cached
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/logos/uk31-300x116.png;200;1030;670;2374;38;3472;3440;;;Wed, 24 Aug 2016 15:37:44 GMT;max-age=2592000;image/png;;3;53;;3404;;;;;;;;;;;23;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/logos/am31-300x116.png;200;1031;671;2374;37;3364;3332;;;Wed, 24 Aug 2016 15:37:44 GMT;max-age=2592000;image/png;;3;53;;3405;;;;;;;;;;;24;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/logos/institut-games-2.png;200;1751;1750;2375;40;1696;1664;;;Wed, 24 Aug 2016 15:37:44 GMT;max-age=2592000;image/png;;3;53;;4126;;;;;;;;;;;25;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/logos/imo-hdm-startseite-2.jpg;200;1755;1742;2383;43;11748;11667;;;Wed, 24 Aug 2016 15:37:45 GMT;max-age=2592000;image/jpeg;;3;53;;4138;;;;;;;;;;;26;100;0;-1;-1;100;-1;-1;-1;60;-1;0;1;-1;-1;-1;0;0;0;0;11667;4610;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/logos/medienmaster-studiengangskarte.png;200;2320;1741;2384;50;17181;17148;;;Wed, 24 Aug 2016 15:37:45 GMT;max-age=2592000;image/png;;3;53;;4704;;;;;;;;;;;27;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/logos/zulassung_startseite_neu4.jpg;200;1788;1741;2384;46;4107;4075;;;Wed, 24 Aug 2016 15:37:45 GMT;max-age=2592000;image/jpeg;;3;53;;4172;;;;;;;;;;;28;100;0;-1;-1;100;-1;-1;-1;100;-1;0;1;-1;-1;-1;0;0;0;0;4075;0;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/logos/mr-medienmaster1.png;200;1787;1740;2385;40;4824;4792;;;Wed, 24 Aug 2016 15:37:45 GMT;max-age=2592000;image/png;;3;53;;4172;;;;;;;;;;;29;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/logos/csm-medienmaster1.png;200;1801;1740;2385;40;5252;5219;;;Wed, 24 Aug 2016 15:37:45 GMT;max-age=2592000;image/png;;3;53;;4186;;;;;;;;;;;30;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/sponsoren/united-internet.png;200;1817;1740;2386;42;9948;9892;;;Wed, 24 Aug 2016 15:37:45 GMT;max-age=2592000;image/png;;3;53;;4203;;;;;;;;;;;31;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/sponsoren/dmc.png;200;1820;1740;2386;34;2261;2206;;;Wed, 24 Aug 2016 15:37:45 GMT;max-age=2592000;image/png;;3;53;;4206;;;;;;;;;;;32;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
